Campaign,Ad Group,Keyword,Match Type,Max CPC
Search — Solar Investment Cyprus [HNI],Renewable Energy Investment Cyprus,"clean energy investment europe",Phrase,4.00
Search — Solar Investment Cyprus [HNI],Renewable Energy Investment Cyprus,"green energy project cyprus",Phrase,4.50
Search — Solar Investment Cyprus [HNI],Renewable Energy Investment Cyprus,"cyprus renewable energy",Phrase,4.00
Search — Solar Investment Cyprus [HNI],Renewable Energy Investment Cyprus,"solar investment mediterranean",Phrase,4.00
Search — Solar Investment Cyprus [HNI],Renewable Energy Investment Cyprus,"pv investment eu",Phrase,4.00
Search — Solar Investment Cyprus [HNI],Renewable Energy Investment Cyprus,[renewable energy investment cyprus],Exact,5.00
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"high yield green investment",Phrase,5.50
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"sustainable investment 10% return",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"green energy high roi",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"renewable energy returns",Phrase,4.50
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"solar farm roi",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"solar farm returns",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"green investment 8 percent",Phrase,5.50
Search — Solar Investment Cyprus [HNI],Green Investment High Yield,"high return green energy",Phrase,5.00
Search — Solar Investment Cyprus [HNI],Cyprus Energy Investment,"cyprus energy market",Phrase,4.00
Search — Solar Investment Cyprus [HNI],Cyprus Energy Investment,"invest in cyprus",Phrase,3.50
Search — Solar Investment Cyprus [HNI],Cyprus Energy Investment,"cyprus investment opportunities",Phrase,4.00
Search — Solar Investment Cyprus [HNI],Cyprus Energy Investment,"cyprus solar market",Phrase,4.00
Search — Solar Investment Cyprus [HNI],Cyprus Energy Investment,"cyprus electricity market",Phrase,3.50
Search — Solar Investment Cyprus [HNI],Cyprus Energy Investment,[cyprus energy investment],Exact,4.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,"solar curtailment cyprus",Phrase,6.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,"curtailment solution",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,[solar curtailment recovery],Exact,6.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,"reduce solar curtailment",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,"curtailment loss solar park",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,[curtailment solution cyprus],Exact,6.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,"solar park curtailment",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,"tsoc curtailment 2025",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Curtailment Solution,"solar curtailment 47%",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,"bess for solar park",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,"battery storage solar farm",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,"add battery to solar park",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,"solar plus storage cyprus",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,"bess retrofit solar",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,"co-located bess",Phrase,4.50
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,[bess for solar park cyprus],Exact,6.00
Search — BESS Curtailment Cyprus [Park Owners],BESS for Solar Parks,"battery storage for pv plant",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Battery Storage Cyprus EPC,"bess epc cyprus",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Battery Storage Cyprus EPC,"battery storage installer cyprus",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Battery Storage Cyprus EPC,"bess contractor cyprus",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Battery Storage Cyprus EPC,"battery storage system price",Phrase,4.50
Search — BESS Curtailment Cyprus [Park Owners],Battery Storage Cyprus EPC,"bess cost per mwh",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Battery Storage Cyprus EPC,[battery storage epc cyprus],Exact,5.50
Search — BESS Curtailment Cyprus [Park Owners],Battery Storage Cyprus EPC,"bess turnkey cyprus",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"solar park losing money",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"solar farm revenue drop",Phrase,4.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"cyprus solar park problems",Phrase,4.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"tsoc curtailment",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"eac curtailment solar",Phrase,5.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"cera bess license",Phrase,4.00
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"solar park revenue loss cyprus",Phrase,5.50
Search — BESS Curtailment Cyprus [Park Owners],Solar Park Revenue Loss,"solar curtailment revenue impact",Phrase,5.00
Search — BESS Investment [HNI+Technical],Battery Storage Investment,"battery storage investment",Phrase,5.00
Search — BESS Investment [HNI+Technical],Battery Storage Investment,"bess investment opportunity",Phrase,5.00
Search — BESS Investment [HNI+Technical],Battery Storage Investment,"energy storage investment europe",Phrase,4.50
Search — BESS Investment [HNI+Technical],Battery Storage Investment,"invest in battery storage",Phrase,5.00
Search — BESS Investment [HNI+Technical],Battery Storage Investment,"grid scale battery investment",Phrase,5.00
Search — BESS Investment [HNI+Technical],Battery Storage Investment,[battery storage investment europe],Exact,5.50
Search — BESS Investment [HNI+Technical],BESS ROI,"bess roi",Phrase,4.50
Search — BESS Investment [HNI+Technical],BESS ROI,"battery storage returns",Phrase,4.50
Search — BESS Investment [HNI+Technical],BESS ROI,"bess payback period",Phrase,4.50
Search — BESS Investment [HNI+Technical],BESS ROI,"bess revenue model",Phrase,4.00
Search — BESS Investment [HNI+Technical],BESS ROI,"energy storage economics",Phrase,4.00
Search — BESS Investment [HNI+Technical],BESS ROI,[bess investment roi],Exact,5.00
Search — BESS Investment [HNI+Technical],Energy Storage Europe,"energy storage europe",Phrase,4.00
Search — BESS Investment [HNI+Technical],Energy Storage Europe,"battery storage market europe",Phrase,4.00
Search — BESS Investment [HNI+Technical],Energy Storage Europe,"grid storage investment eu",Phrase,4.00
Search — BESS Investment [HNI+Technical],Energy Storage Europe,"bess market growth",Phrase,3.50
Search — Alternative Investments [HNI],Alternative to Bonds,"alternative to bonds",Phrase,4.50
Search — Alternative Investments [HNI],Alternative to Bonds,"better than bonds investment",Phrase,4.50
Search — Alternative Investments [HNI],Alternative to Bonds,"real asset investment",Phrase,4.00
Search — Alternative Investments [HNI],Alternative to Bonds,"infrastructure investment",Phrase,3.50
Search — Alternative Investments [HNI],Alternative to Bonds,"fixed income alternative",Phrase,4.50
Search — Alternative Investments [HNI],Alternative to Bonds,"alternative investment 8% return",Phrase,5.00
Search — Alternative Investments [HNI],Green Investment EU,"esg investment europe",Phrase,4.00
Search — Alternative Investments [HNI],Green Investment EU,"green bond alternative",Phrase,4.00
Search — Alternative Investments [HNI],Green Investment EU,"sustainable investment high return",Phrase,4.50
Search — Alternative Investments [HNI],Green Investment EU,"impact investing energy",Phrase,3.50
Search — Alternative Investments [HNI],Green Investment EU,"green investment eu",Phrase,4.00
Search — Alternative Investments [HNI],Passive Income Real Assets,"passive income from solar",Phrase,4.00
Search — Alternative Investments [HNI],Passive Income Real Assets,"income producing real assets",Phrase,4.00
Search — Alternative Investments [HNI],Passive Income Real Assets,"cash flow investment europe",Phrase,4.00
Search — Alternative Investments [HNI],Passive Income Real Assets,"passive solar income",Phrase,4.00
